Date,Time,HomeTeam,AwayTeam
2019-01-06 00:00:00,19:00,Osasuna,Cadiz CF
2019-01-06 00:00:00,19:00,Rayo Majadahonda,Las Palmas
2019-01-06 00:00:00,19:00,Tenerife,Elche
2019-01-13 00:00:00,19:00,Albacete,Gijon
2019-01-13 00:00:00,19:00,Alcorcon,Almeria
2019-01-13 00:00:00,19:00,Cadiz CF,Granada CF
2019-01-13 00:00:00,19:00,Cordoba,Rayo Majadahonda
2019-01-13 00:00:00,19:00,Elche,Gimnastic
2019-01-13 00:00:00,19:00,Las Palmas,Osasuna
2019-01-13 00:00:00,19:00,Lugo,Extremadura UD
2019-01-13 00:00:00,19:00,Mallorca,Dep. La Coruna
2019-01-13 00:00:00,19:00,R. Oviedo,Tenerife
2019-01-13 00:00:00,19:00,Reus Deportiu,Numancia
2019-01-13 00:00:00,19:00,Zaragoza,Malaga
2019-01-20 00:00:00,19:00,Almeria,Cadiz CF
2019-01-20 00:00:00,19:00,Dep. La Coruna,Albacete
2019-01-20 00:00:00,19:00,Extremadura UD,R. Oviedo
2019-01-20 00:00:00,19:00,Gijon,Alcorcon
2019-01-20 00:00:00,19:00,Granada CF,Elche
2019-01-20 00:00:00,19:00,Malaga,Lugo
2019-01-20 00:00:00,19:00,Numancia,Cordoba
2019-01-20 00:00:00,19:00,Osasuna,Mallorca
2019-01-20 00:00:00,19:00,Rayo Majadahonda,Zaragoza
2019-01-20 00:00:00,19:00,Reus Deportiu,Las Palmas
2019-01-20 00:00:00,19:00,Tenerife,Gimnastic
2019-01-27 00:00:00,19:00,Albacete,Reus Deportiu
2019-01-27 00:00:00,19:00,Alcorcon,Cordoba
2019-01-27 00:00:00,19:00,Almeria,Osasuna
2019-01-27 00:00:00,19:00,Cadiz CF,Mallorca
2019-01-27 00:00:00,19:00,Elche,Numancia
2019-01-27 00:00:00,19:00,Gijon,Dep. La Coruna
2019-01-27 00:00:00,19:00,Gimnastic,Las Palmas
2019-01-27 00:00:00,19:00,Granada CF,Extremadura UD
2019-01-27 00:00:00,19:00,Lugo,Rayo Majadahonda
2019-01-27 00:00:00,19:00,Tenerife,Malaga
2019-01-27 00:00:00,19:00,Zaragoza,R. Oviedo
2019-02-03 00:00:00,19:00,Cordoba,Albacete
2019-02-03 00:00:00,19:00,Dep. La Coruna,Tenerife
2019-02-03 00:00:00,19:00,Extremadura UD,Gijon
2019-02-03 00:00:00,19:00,Las Palmas,Zaragoza
2019-02-03 00:00:00,19:00,Malaga,Almeria
2019-02-03 00:00:00,19:00,Mallorca,Alcorcon
2019-02-03 00:00:00,19:00,Numancia,Lugo
2019-02-03 00:00:00,19:00,Osasuna,Granada CF
2019-02-03 00:00:00,19:00,R. Oviedo,Cadiz CF
2019-02-03 00:00:00,19:00,Rayo Majadahonda,Gimnastic
2019-02-03 00:00:00,19:00,Reus Deportiu,Elche
2019-02-10 00:00:00,19:00,Albacete,Mallorca
2019-02-10 00:00:00,19:00,Alcorcon,Cadiz CF
2019-02-10 00:00:00,19:00,Almeria,Numancia
2019-02-10 00:00:00,19:00,Elche,R. Oviedo
2019-02-10 00:00:00,19:00,Extremadura UD,Rayo Majadahonda
2019-02-10 00:00:00,19:00,Gijon,Osasuna
2019-02-10 00:00:00,19:00,Gimnastic,Reus Deportiu
2019-02-10 00:00:00,19:00,Granada CF,Dep. La Coruna
2019-02-10 00:00:00,19:00,Lugo,Zaragoza
2019-02-10 00:00:00,19:00,Malaga,Las Palmas
2019-02-10 00:00:00,19:00,Tenerife,Cordoba
2019-02-17 00:00:00,19:00,Cadiz CF,Tenerife
2019-02-17 00:00:00,19:00,Cordoba,Granada CF
2019-02-17 00:00:00,19:00,Dep. La Coruna,Gimnastic
2019-02-17 00:00:00,19:00,Elche,Extremadura UD
2019-02-17 00:00:00,19:00,Las Palmas,Gijon
2019-02-17 00:00:00,19:00,Mallorca,Lugo
2019-02-17 00:00:00,19:00,Numancia,Osasuna
2019-02-17 00:00:00,19:00,R. Oviedo,Alcorcon
2019-02-17 00:00:00,19:00,Rayo Majadahonda,Malaga
2019-02-17 00:00:00,19:00,Reus Deportiu,Almeria
2019-02-17 00:00:00,19:00,Zaragoza,Albacete
2019-02-24 00:00:00,19:00,Albacete,R. Oviedo
2019-02-24 00:00:00,19:00,Alcorcon,Las Palmas
2019-02-24 00:00:00,19:00,Almeria,Cordoba
2019-02-24 00:00:00,19:00,Extremadura UD,Numancia
2019-02-24 00:00:00,19:00,Gijon,Rayo Majadahonda
2019-02-24 00:00:00,19:00,Gimnastic,Cadiz CF
2019-02-24 00:00:00,19:00,Granada CF,Reus Deportiu
2019-02-24 00:00:00,19:00,Lugo,Elche
2019-02-24 00:00:00,19:00,Malaga,Dep. La Coruna
2019-02-24 00:00:00,19:00,Osasuna,Zaragoza
2019-02-24 00:00:00,19:00,Tenerife,Mallorca
